#SampleID	Species	Colony	Age	Year	Type	Plate
#q2:types	Categorical	Categorical	Categorical	Categorical	Categorical	Categorical
TUPU-MID-AD-2024-282	TUPU	MID	AD	2024	SAMPLE	102
TUPU-MID-AD-2024-283	TUPU	MID	AD	2024	SAMPLE	102
BLANK-102-2	BLANK				EXTBLANK	102
TUPU-MID-AD-2024-284	TUPU	MID	AD	2024	SAMPLE	102
TUPU-MID-AD-2024-285	TUPU	MID	AD	2024	SAMPLE	102
TUPU-MID-AD-2024-286	TUPU	MID	AD	2024	SAMPLE	102
TUPU-MID-AD-2024-287	TUPU	MID	AD	2024	SAMPLE	102
TUPU-MID-AD-2024-288	TUPU	MID	AD	2024	SAMPLE	102
TUPU-MID-AD-2024-289	TUPU	MID	AD	2024	SAMPLE	102
BLKI-MID-AD-2024-290	BLKI	MID	AD	2024	SAMPLE	102
TUPU-MID-CH-2024-291	TUPU	MID	CH	2024	SAMPLE	102
TUPU-MID-CH-2024-292	TUPU	MID	CH	2024	SAMPLE	102
TUPU-MID-CH-2024-293	TUPU	MID	CH	2024	SAMPLE	102
TUPU-MID-CH-2024-294	TUPU	MID	CH	2024	SAMPLE	102
TUPU-MID-CH-2024-295	TUPU	MID	CH	2024	SAMPLE	102
TUPU-MID-AD-2024-170	TUPU	MID	AD	2024	SAMPLE	109
TUPU-MID-AD-2024-171	TUPU	MID	AD	2024	SAMPLE	109
TUPU-MID-AD-2024-172	TUPU	MID	AD	2024	SAMPLE	109
TUPU-MID-AD-2024-173	TUPU	MID	AD	2024	SAMPLE	109
TUPU-MID-CH-2024-174	TUPU	MID	CH	2024	SAMPLE	109
TUPU-MID-CH-2024-175	TUPU	MID	CH	2024	SAMPLE	109
TUPU-MID-AD-2024-176	TUPU	MID	AD	2024	SAMPLE	109
TUPU-MID-AD-2024-177	TUPU	MID	AD	2024	SAMPLE	109
TUPU-MID-AD-2024-178	TUPU	MID	AD	2024	SAMPLE	109
TUPU-MID-AD-2024-179	TUPU	MID	AD	2024	SAMPLE	109
TUPU-MID-AD-2024-180	TUPU	MID	AD	2024	SAMPLE	109
TUPU-MID-AD-2024-181	TUPU	MID	AD	2024	SAMPLE	109
TUPU-MID-AD-2024-182	TUPU	MID	AD	2024	SAMPLE	109
TUPU-MID-AD-2024-183	TUPU	MID	AD	2024	SAMPLE	109
TUPU-MID-AD-2024-184	TUPU	MID	AD	2024	SAMPLE	109
BLANK-81-7	EXTBLANK				EXTBLANK	81
BLANK-81-8	EXTBLANK				EXTBLANK	81
PCR-BLANK-99-2	PCRBLANK				PCRBLANK	99
PCR_BLANK_76_2	PCRBLANK				PCRBLANK	76
