Feature ID	Taxon	Consensus	Confidence
02eb8b295dd77f1d71dfaff65c114646	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__;s__	1	0.992405063291139
02f4156974d5ceaf3d7b3f2906fd937f	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__	1	0.992405063291139
02f8557d5112b2b91e59bbc0272d7ee4	k__Metazoa;p__Chordata;c__Actinopteri;o__Myctophiformes;f__Myctophidae;g__Stenobrachius;s__	1	1
031a5ae6961115c6cddd606d32a3e9a9	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__	1	0.992405063291139
0324308243749e4a651a6821b7fea53d	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__	1	1
033d52c2e6c210a98731022b9e0a6a54	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__;s__	1	0.992405063291139
035580f1b1dca5b04b3cf45b012784a9	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__	1	0.984810126582278
035904cc243fb126f342c49aff6b2e37	k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__sapiens	1	1
0367097d46ad9809f13d32f096bcc73e	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Salangidae;g__Mallotus;s__villosus	1	0.992405063291139
038ad75367730f74a1b0c307b456e1e5	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii	1	0.992405063291139
038edff8cef5823f4e4a7de397237bed	k__Metazoa;p__Chordata;c__Aves;o__Charadriiformes;f__Laridae;g__Xema;s__sabini	1	0.988607594936709
039dfe1a38034115aecd72638f044ada	Unassigned	1	0.7
03adda961b95297fe19f28d19b921e8d	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii	1	0.984810126582278
03b8bfc1827dbc8bcc91e383998e29ac	k__Metazoa;p__Chordata;c__Actinopteri;o__Myctophiformes;f__Myctophidae;g__Stenobrachius;s__	1	1
03bb7b8036b6b8983ecb959cae0cfb70	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__;s__	1	0.992405063291139
03cae4a6ddcaa4a19fbeff1e7f6d83ee	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Salangidae;g__Mallotus;s__villosus	1	1
03cceec2ecad6cc97936b6d63b3a970d	k__Metazoa;p__Chordata;c__Actinopteri;o__Uranoscopiformes;f__Ammodytidae;g__Ammodytes;s__personatus	1	0.984810126582278
03d76282328b628818f97a641f17c991	k__Metazoa;p__Chordata;c__Aves;o__Charadriiformes;f__Laridae;g__Rissa;s__tridactyla	1	0.992405063291139
0410926b261a789f47d8c9e88ca7f338	k__Metazoa;p__Chordata;c__Actinopteri;o__Pleuronectiformes;f__Pleuronectidae;g__Glyptocephalus;s__zachirus	1	1
