"Type","Plate","MeanReads","MedianReads","SDReads","n","PercentOfSample"
"MOCK","75",339103,339103,NA,1,256.68
"PCRBLANK","75",0,0,0,2,0
"SAMPLE","75",132110.25,112035,104761.16,68,100
"EXTBLANK","75",104.83,25,327.68,6,0.08
"FLDBLANK","75",1884.33,1713,455.83,3,1.43
