Feature ID	Taxon
0440dbefe70a5e59b25484e9eb5fcbbd	k__Metazoa;p__Chordata;c__Actinopteri;o__Myctophiformes;f__Myctophidae;g__Stenobrachius;s__nannochir
044dd284fc4a50cfda88e3ea6fbe8fe5	k__Metazoa;p__Chordata;c__Actinopteri;o__Uranoscopiformes;f__Ammodytidae;g__Ammodytes;s__japonicus
046b4d067234901840ba174ff001aad0	k__Metazoa;p__Chordata;c__Actinopteri;o__Scombriformes;f__Centrolophidae;g__Icichthys;s__lockingtoni
0485e0c7587c61c489e0588eb41bf59e	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Salangidae;g__Mallotus;s__villosus
048c9c5c8d1b7f6479b1041edd04f030	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Salangidae;g__Mallotus;s__villosus
04d1c48bcc8e00a301031faef06d3935	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Clinocottus;s__acuticeps
04d75f969910b04ece88e7ef23fecd00	k__Metazoa;p__Chordata;c__Actinopteri;o__Myctophiformes;f__Myctophidae;g__Stenobrachius;s__nannochir
04eb20abd6ef94d69a9a6f627c4e01dc	k__Metazoa;p__Chordata;c__Actinopteri;o__Myctophiformes;f__Myctophidae;g__Stenobrachius;s__nannochir
0515d1f57dbb0e4a48df5a2b68cdbf9d	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Merlucciidae;g__Merluccius;s__bilinearis
051be1343dc38ff333f302734428c366	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__chalcogrammus
055b050b936ffab73f9bfc85b4ec69f2	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
0561cfa0895b46357ae22472e1b9d0fc	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Salangidae;g__Mallotus;s__villosus
05743cd8a364be7fae07a3ac49bf54ab	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Salangidae;g__Mallotus;s__villosus
0581d99f560dc879b0b8ef6bc0c415e7	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__chalcogrammus
058b0220000bae7545b66015d1396a8f	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Zaproridae;g__Zaprora;s__silenus
05bd9b5534f9f22cf34bcdff39787f7e	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
05df7b856024e214c9c11cedd04ed263	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__chalcogrammus
05f000e876a97a49d850af299e67691d	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
065beb307f2e08eee86084c5dad7c097	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__chalcogrammus
0662340caf6d8a82f962d22a3fe71d54	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Microgadus;s__proximus
067365550edadfe21c9ff26be5e487b7	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Hexagrammidae;g__Hexagrammos;s__agrammus
067e1f84b05b8ca847f7be9c4be2ba97	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Microgadus;s__proximus
06a7b62796c7d0bac40536212fee3b78	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
06b8dd5f649b35653615d9478460aa17	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Hexagrammidae;g__Hexagrammos;s__decagrammus
06b9eea93c94708ecc975b95b562d4b4	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Microgadus;s__proximus
07247aed75579507c72aaa647ca5f88f	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
07339fb612d67f7324024dd673976840	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
075bca9ca5485e728ac7593c1b2fac02	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__chalcogrammus
076e71dd55ded0d97ba06a508ca4d7e7	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Osmeridae;g__Thaleichthys;s__pacificus
07a0f609d24fb5a9803f12f6c18b8714	k__Metazoa;p__Chordata;c__Actinopteri;o__Salmoniformes;f__Salmonidae;g__Oncorhynchus;s__gorbuscha
07a46d4e430924a653a343c1cd33ecf8	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Salangidae;g__Mallotus;s__villosus
07bda8dc4db8ff9bc8d03c97ca8e7368	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
07e9a93ee5bbecf89fb5724618c04598	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
0826bc7230475137df02a6ac83d1473f	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
084ccaf929d2ef44047675389c131e31	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
085324c765965ffff533d17d6b6d47c5	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Trichodontidae;g__Trichodon;s__trichodon
0882da830b540821d6f0c1b0cc18b773	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
088767a34ead6142e68a872369473b16	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__harengus
090e9c45ea0d1a36a9ae6af36a3e7ca8	k__Metazoa;p__Chordata;c__Actinopteri;o__Uranoscopiformes;f__Ammodytidae;g__Ammodytes;s__japonicus
0912fb65591c18c4be51d52cfc35be7b	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__chalcogrammus
09148c8fcfd1c0c54ec737cb8c23c7b9	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Osmeridae;g__Thaleichthys;s__pacificus
093cbb97253cb6ed3ff426ac2bcaa5cb	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__chalcogrammus
094cbc6dc37cf6561bc2bdf90bc7f62e	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
0973b1e0c9472f3371b5a02fa10d01ec	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Zaproridae;g__Zaprora;s__silenus
09792c9730b6bf8702179dcd0ef3b8e6	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Zaproridae;g__Zaprora;s__silenus
099af330087ef7f07586661f6a5f9e20	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
09b8137b4acfd9ba6aa94c9dfbbe5673	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__macrocephalus
0a154d3aeb1186de45dc38ef5f4419a4	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Hexagrammidae;g__Hexagrammos;s__decagrammus
0a1a4feb506dce5d8e9208652ac1510a	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
0a1c1ef27864bd98d39fc641a47e5e16	k__Metazoa;p__Chordata;c__Actinopteri;o__Myctophiformes;f__Myctophidae;g__Stenobrachius;s__nannochir
0ac2948d078abb0deaa1504d291ab3f2	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
0aef4e5ad3b2bd9d6455a09a8f8b2856	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Osmeridae;g__Thaleichthys;s__pacificus
0b069a9f0eb21585a2470417efb39184	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__chalcogrammus
0b20180bd5d1edbbcc337c22dda0ad00	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__chalcogrammus
0b374282df643a843cdf2c4fb169c200	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Zaproridae;g__Zaprora;s__silenus
0b57cf138f5903052fcb8ab1a3ad1ab3	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
0b64f99716400a388bd8d45ac7721027	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Salangidae;g__Mallotus;s__villosus
0b9b6325fe3916e526dc4454d8688f7e	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
0b9eb27926cff560b260dce186dc3871	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__chalcogrammus
0bab4326f0277f56f49b0366858e65fe	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Zaproridae;g__Zaprora;s__silenus
0bf43160b691a540a431d849e83cb22d	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Trichodontidae;g__Trichodon;s__trichodon
0c2f94869fd21666c71ce5a1be191bd4	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cottidae;g__Enophrys;s__bison
0c3fe214d3217dd2b52c354c29603c98	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Zaproridae;g__Zaprora;s__silenus
0c57ab1ba4d1abcc3f95f3606578b1ef	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
0c61ab519ec38b29e79145e12b0835cb	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Microgadus;s__proximus
0c7fb2f85be5529a335cdef6e2b8449b	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Microgadus;s__proximus
0ccc7f8d3e8eb395d6907409798112f3	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Salangidae;g__Mallotus;s__villosus
0cd1651966396d009103887fa338f235	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__chalcogrammus
0ceb7c10b4c8e576c9e9d72e45e24f65	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Microgadus;s__proximus
0d05edd62ea48704e3b92222335c0f4e	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
0d2098b8154a0060234f3065ebbb45a6	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Osmeridae;g__Thaleichthys;s__pacificus
0d36e6f725d4d3557bb420dacd1b6d10	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Salangidae;g__Mallotus;s__villosus
0d37bb8bfe4a0fc23cfffad7eae79627	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__chalcogrammus
0d4032e41cd245499bccf9f2926d7651	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
0d7c4acaf41acecf1a1de8aab6f0fdce	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__chalcogrammus
0e17ec5ffa962a6690c9418f166f9930	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
0e2709861607ce2b0446029b7a133f1f	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__chalcogrammus
0e541364fcf2d18db2f46559f7cbc6bb	k__Metazoa;p__Chordata;c__Actinopteri;o__Myctophiformes;f__Myctophidae;g__Stenobrachius;s__nannochir
0ee54213ee9a1b20f62c6e7025acf864	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__chalcogrammus
0f0132795554c2ba1e80de1570b66803	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
0f06eff09d4bbdc822a3bf724f014ab7	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
0f23132c35d7b28f40e142ae960e2a52	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Bathymasteridae;g__Bathymaster;s__signatus
0f7d14eb70fe64a60dbf08bcc2bf9e60	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Trichodontidae;g__Trichodon;s__trichodon
0fbd687a64f88009526e99586781a60a	k__Metazoa;p__Chordata;c__Actinopteri;o__Uranoscopiformes;f__Ammodytidae;g__Ammodytes;s__japonicus
101b4d188e0c1297698ffd1f3eb8ba76	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
1030f43323efa7778ffb451940b52a6d	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
10aa6060fa34ed0e9d2cc3b6346b1538	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__macrocephalus
10c2da10041dd98e07e2c71cb98159a3	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
10c9d05f6159d81a36b7de2623f9c9f6	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
1126dcf2f322c97a517a037d028394bc	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__chalcogrammus
117aa8a3991128ff56b16d5b42f70517	k__Metazoa;p__Chordata;c__Actinopteri;o__Uranoscopiformes;f__Ammodytidae;g__Ammodytes;s__japonicus
1197cda205edd6b479574b5dfc6477fe	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Microgadus;s__proximus
11c348b0e1013b27815b7a4e31607bc1	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Zaproridae;g__Zaprora;s__silenus
122ee1f2fbcfcab5a118536be085ae48	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Osmeridae;g__Thaleichthys;s__pacificus
12639d880d21a8d5e081dedf7bb94d7f	k__Metazoa;p__Chordata;c__Actinopteri;o__Myctophiformes;f__Myctophidae;g__Stenobrachius;s__nannochir
12d7a547e0ac88b0a80a0e44c89458a2	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Salangidae;g__Mallotus;s__villosus
130ba9face72f15f75f1a5727c243daf	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Zaproridae;g__Zaprora;s__silenus
1333257863a254024e9c459eef0a7b68	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__chalcogrammus
140022165b02a6dcce743ad06c06dc50	k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__chalcogrammus
1403817cb48d0e58c19b9b1ed0af3a35	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Salangidae;g__Mallotus;s__villosus
14102e3a7487fa3817f26f3a4f27dae4	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Zaproridae;g__Zaprora;s__silenus
141c21656d0e836be4ebeabc48b953ef	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
14234ffe8f88b2edce1c49c54d1a205a	k__Metazoa;p__Chordata;c__Actinopteri;o__Myctophiformes;f__Myctophidae;g__Stenobrachius;s__nannochir
1428b218f737d692b732a2280bec0438	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
1436b439a58b8b2e18a90cb55e5c4e0b	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
146b0b5e9210306eed76a9e4f935142a	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Salangidae;g__Mallotus;s__villosus
14910f0efd57331ede49823ffc7aab2e	k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Osmeridae;g__Thaleichthys;s__pacificus
14bf17f499d9ae350965285250edc9a5	k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Zaproridae;g__Zaprora;s__silenus
14c2b17ddf2007a206990d7d9600e895	k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__pallasii
