"Type","Plate","MeanReads","MedianReads","SDReads","n","PercentOfSample"
"MOCK","101",120662,120662,NA,1,119.03
"PCRBLANK","101",0,0,0,2,0
"SAMPLE","101",101372.71,89519,66468.92,85,100
"EXTBLANK","101",0.33,2,NA,6,0
"FLDBLANK","101",30901,30901,NA,1,30.48
